run_id,Cd,Cl
1,0.2671428571428571,0.0
2,0.26719298245614037,0.0
3,0.26724288840262583,0.0
4,0.26729257641921395,0.0
5,0.2673420479302832,0.0
6,0.2673913043478261,0.0
7,0.26744034707158354,0.0
8,0.2674891774891775,0.0
9,0.2675377969762419,0.0
10,0.2675862068965517,0.0
11,0.26763440860215054,0.0
12,0.2676824034334764,0.0
13,0.2677301927194861,0.0
14,0.2677777777777778,0.0
15,0.2678251599147122,0.0
16,0.2678723404255319,0.0
17,0.2679193205944798,0.0
18,0.26796610169491525,0.0
19,0.26801268498942915,0.0
20,0.2680590717299578,0.0
21,0.26810526315789474,0.0
22,0.2681512605042017,0.0
23,0.2681970649895178,0.0
24,0.2682426778242678,0.0
25,0.26828810020876825,0.0
26,0.2683333333333333,0.0
27,0.2683783783783784,0.0
28,0.2684232365145228,0.0
29,0.2684679089026915,0.0
30,0.2685123966942149,0.0
31,0.2685567010309278,0.0
32,0.2686008230452675,0.0
33,0.2686447638603696,0.0
34,0.2686885245901639,0.0
35,0.2687321063394683,0.0
36,0.26877551020408164,0.0
37,0.2688187372708758,0.0
38,0.2688617886178862,0.0
39,0.2689046653144016,0.0
40,0.2689473684210526,0.0
